Class,k,Precision,Recall,F1 Score
bookshelf,1,1.0,1.0,1.0
bookshelf,5,1.0,1.0,1.0
bookshelf,10,1.0,0.6,0.7499999999999999
bottle,1,1.0,1.0,1.0
bottle,5,1.0,1.0,1.0
bottle,10,1.0,1.0,1.0
bowl,1,1.0,1.0,1.0
bowl,5,1.0,0.6,0.7499999999999999
bowl,10,1.0,0.6,0.7499999999999999
bulb,1,0.0,0.0,0.0
bulb,5,0.0,0.0,0.0
bulb,10,0.0,0.0,0.0
chair,1,1.0,1.0,1.0
chair,5,1.0,1.0,1.0
chair,10,1.0,1.0,1.0
cup,1,1.0,1.0,1.0
cup,5,1.0,1.0,1.0
cup,10,1.0,1.0,1.0
desk,1,0.0,0.0,0.0
desk,5,1.0,0.4,0.5714285714285715
desk,10,1.0,0.3,0.4615384615384615
door,1,1.0,1.0,1.0
door,5,1.0,1.0,1.0
door,10,1.0,1.0,1.0
head,1,1.0,1.0,1.0
head,5,1.0,1.0,1.0
head,10,1.0,0.9,0.9473684210526316
keyboard,1,1.0,1.0,1.0
keyboard,5,1.0,1.0,1.0
keyboard,10,1.0,0.6,0.7499999999999999
lamp,1,1.0,1.0,1.0
lamp,5,1.0,1.0,1.0
lamp,10,1.0,1.0,1.0
laptop,1,1.0,1.0,1.0
laptop,5,1.0,0.4,0.5714285714285715
laptop,10,1.0,0.2,0.33333333333333337
microwave,1,0.0,0.0,0.0
microwave,5,1.0,0.4,0.5714285714285715
microwave,10,1.0,0.2,0.33333333333333337
monitor,1,1.0,1.0,1.0
monitor,5,1.0,0.2,0.33333333333333337
monitor,10,1.0,0.1,0.18181818181818182
piano,1,0.0,0.0,0.0
piano,5,0.0,0.0,0.0
piano,10,1.0,0.1,0.18181818181818182
poster,1,1.0,1.0,1.0
poster,5,1.0,0.2,0.33333333333333337
poster,10,1.0,0.2,0.33333333333333337
stool,1,1.0,1.0,1.0
stool,5,1.0,0.8,0.888888888888889
stool,10,1.0,0.6,0.7499999999999999
table,1,0.0,0.0,0.0
table,5,1.0,0.6,0.7499999999999999
table,10,1.0,0.7,0.8235294117647058
teapot,1,1.0,1.0,1.0
teapot,5,1.0,1.0,1.0
teapot,10,1.0,0.5,0.6666666666666666
